shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,40.69868551,-73.81275443,292
1,40.69882603,-73.81205725,293
1,40.69898503,-73.81136703,294
1,40.69916797,-73.81068718,295
1,40.6993577,-73.81001034,296
1,40.69954744,-73.80933351,297
1,40.69937873,-73.80799775,298
1,40.69957899,-73.80732618,299
1,40.69978214,-73.8066561,300
1,40.69998914,-73.80598806,301
1,40.70019811,-73.80532108,302
1,40.70040521,-73.80465308,303
1,40.70061347,-73.80398572,304
1,40.70082413,-73.80331966,305
1,40.70106192,-73.80267087,306
1,40.70133581,-73.80204607,307
1,40.70160397,-73.801417,308
1,40.70181695,-73.80075378,309
1,40.70198523,-73.80006728,310
1,40.70215002,-73.79937924,311
1,40.70231274,-73.79869034,312
1,40.70247546,-73.79800144,313
1,40.70263771,-73.79731235,314
1,40.70280447,-73.79662516,315
1,40.70299048,-73.79594668,316
1,40.70318232,-73.79527091,317
1,40.70335425,-73.79458603,318
1,40.70352004,-73.79389838,319
1,40.70368571,-73.79321069,320
1,40.70385147,-73.79252303,321
1,40.70401701,-73.79183527,322
1,40.70418204,-73.79114731,323
1,40.70434757,-73.79045954,324
1,40.70451318,-73.78977182,325
1,40.70467826,-73.7890839,326
1,40.70483881,-73.78839425,327
1,40.70497977,-73.78769729,328
1,40.70513559,-73.7870058,329
1,40.70530026,-73.78631768,330
1,40.70546671,-73.78563029,331
1,40.70563369,-73.78494312,332
1,40.70580372,-73.78425727,333
1,40.70595983,-73.78356815,334
1,40.70600264,-73.78285203,335
1,40.70598124,-73.78213186,336
1,40.70590175,-73.78141895,337
1,40.70576355,-73.78072156,338
1,40.70556607,-73.78004958,339
1,40.70531315,-73.77941019,340
1,40.70500873,-73.77881095,341
1,40.70465534,-73.77826014,342
1,40.70425912,-73.77776197,343
1,40.70383988,-73.77729651,344
1,40.7034163,-73.77683767,345
1,40.70299246,-73.77637927,346
1,40.70256831,-73.77592136,347
1,40.70214471,-73.77546256,348
1,40.70171781,-73.77500931,349
1,40.70127901,-73.77457597,350
1,40.70083832,-73.7741459,351
1,40.70039413,-73.77372208,352
1,40.69994996,-73.77329822,353
1,40.69950602,-73.77287395,354
1,40.69906112,-73.77245142,355
1,40.69861633,-73.77202869,356
1,40.69817154,-73.77160596,357
1,40.69772679,-73.77118316,358
1,40.69728249,-73.77075956,359
1,40.69683817,-73.77033598,360
1,40.69639379,-73.76991252,361
1,40.69594946,-73.76948898,362
1,40.69550525,-73.76906523,363
1,40.69506028,-73.76864284,364
