"Indicator.Name","Period.Month","Period.Year","YTD.Target","YTD.Actual","Monthly.Target","Monthly.Actual","Period","Month_Name"
"Babylon",11,2016,93.9,92,93.9,91.9,"2016-11","November"
"Babylon",10,2016,93.9,92,93.9,91.9,"2016-10","October"
"Babylon",9,2016,93.9,92,93.9,93.6,"2016-09","September"
"Babylon",8,2016,93.9,91.8,93.9,92,"2016-08","August"
"Babylon",7,2016,93.9,91.7,93.9,87.1,"2016-07","July"
"Babylon",6,2016,93.9,92.5,93.9,92.6,"2016-06","June"
"Babylon",5,2016,93.9,92.5,93.9,92.4,"2016-05","May"
"Babylon",4,2016,93.9,92.6,93.9,91.9,"2016-04","April"
"Babylon",3,2016,93.9,92.8,93.9,94.7,"2016-03","March"
"Babylon",2,2016,93.9,91.7,93.9,92.3,"2016-02","February"
"Babylon",1,2016,93.9,91.2,93.9,91.2,"2016-01","January"
"Babylon",12,2015,93.9,91.7,93.9,93.1,"2015-12","December"
"Babylon",11,2015,93.9,91.6,93.9,93.1,"2015-11","November"
"Babylon",10,2015,93.9,91.14,93.9,91.64,"2015-10","October"
"Babylon",9,2015,93.9,91.3,93.9,91.3,"2015-09","September"
"Babylon",8,2015,93.9,91.3,93.9,92,"2015-08","August"
"Babylon",7,2015,93.9,91.2,93.9,92,"2015-07","July"
"Babylon",6,2015,93.9,91,93.9,92.8,"2015-06","June"
"Babylon",5,2015,93.9,90.7,93.9,92.6,"2015-05","May"
"Babylon",4,2015,93.9,90.2,93.9,93.6,"2015-04","April"
"Babylon",3,2015,93.9,89.01,93.9,90.5,"2015-03","March"
"Babylon",2,2015,93.9,88.21,93.9,86.39,"2015-02","February"
"Babylon",1,2015,93.9,89.9,93.9,89.9,"2015-01","January"
"Babylon",12,2014,95.1,91.4,95.1,90.1,"2014-12","December"
"Babylon",11,2014,95.1,91.5,95.1,91.4,"2014-11","November"
"Babylon",10,2014,95.1,91.5,95.1,92.4,"2014-10","October"
"Babylon",9,2014,95.1,91.4,95.1,92.5,"2014-09","September"
"Babylon",8,2014,95.1,91.3,95.1,92.7,"2014-08","August"
"Babylon",7,2014,95.1,91,95.1,92.8,"2014-07","July"
"Babylon",6,2014,95.1,90.7,95.1,92.3,"2014-06","June"
"Babylon",5,2014,95.1,90.4,95.1,90.6,"2014-05","May"
"Babylon",4,2014,95.1,90.4,95.1,93.2,"2014-04","April"
"Babylon",3,2014,95.1,89.4,95.1,92.4,"2014-03","March"
"Babylon",2,2014,95.1,87.8,95.1,91.2,"2014-02","February"
"Babylon",1,2014,95.1,84.5,95.1,84.5,"2014-01","January"
"Babylon",12,2013,95.1,92.7,95.1,92.4,"2013-12","December"
"Babylon",11,2013,95.1,92.8,95.1,90.4,"2013-11","November"
"Babylon",10,2013,95.1,93,95.1,93.8,"2013-10","October"
"Babylon",9,2013,95.1,92.9,95.1,93.3,"2013-09","September"
"Babylon",8,2013,95.1,92.8,95.1,90.8,"2013-08","August"
"Babylon",7,2013,95.1,93.1,95.1,92.4,"2013-07","July"
"Babylon",6,2013,95.1,93.3,95.1,93.7,"2013-06","June"
"Babylon",5,2013,95.1,93.2,95.1,93.4,"2013-05","May"
"Babylon",4,2013,95.1,93.1,95.1,96,"2013-04","April"
"Babylon",3,2013,95.1,92.1,95.1,90.3,"2013-03","March"
"Babylon",2,2013,95.1,93,95.1,93.2,"2013-02","February"
"Babylon",1,2013,95.1,92.9,95.1,92.9,"2013-01","January"
"Babylon",12,2012,95.1,93.9,95.1,92.8,"2012-12","December"
"Babylon",11,2012,95.1,94,95.1,87.3,"2012-11","November"
"Babylon",10,2012,95.1,94.5,95.1,94.3,"2012-10","October"
"Babylon",9,2012,95.1,94.5,95.1,94.7,"2012-09","September"
"Babylon",8,2012,95.1,94.5,95.1,93.2,"2012-08","August"
"Babylon",7,2012,95.1,94.7,95.1,93.2,"2012-07","July"
"Babylon",6,2012,95.1,94.9,95.1,92.6,"2012-06","June"
"Babylon",5,2012,95.1,95.4,95.1,94.7,"2012-05","May"
"Babylon",4,2012,95.1,95.6,95.1,95.3,"2012-04","April"
"Babylon",3,2012,95.1,95.7,95.1,96,"2012-03","March"
"Babylon",2,2012,95.1,95.5,95.1,95.9,"2012-02","February"
"Babylon",1,2012,95.1,95.1,95.1,95.1,"2012-01","January"
"Babylon",12,2011,95.1,93.4,95.1,95.6,"2011-12","December"
"Babylon",11,2011,95.1,93.2,95.1,95.5,"2011-11","November"
"Babylon",10,2011,95.1,93,95.1,94.9,"2011-10","October"
"Babylon",9,2011,95.1,92.8,95.1,90.8,"2011-09","September"
"Babylon",8,2011,95.1,93,95.1,88.4,"2011-08","August"
"Babylon",7,2011,95.1,93.7,95.1,92.6,"2011-07","July"
"Babylon",6,2011,95.1,93.8,95.1,94.5,"2011-06","June"
"Babylon",5,2011,95.1,93.7,95.1,94,"2011-05","May"
