Date,Branch,Type,Station,Time,Period,trip_short_name,Status
1/1/2018,Far Rockaway,Depart:,Far Rockaway Station, 5:43AM,Off Peak,8807,Late - 6 mins
,,Arrive:,Penn Station, 6:37AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 6:26AM,Off Peak,6010,Late - 48 mins
,,Arrive:,Babylon Station, 7:42AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 6:28AM,Off Peak,6011,Late - 22 mins
,,Arrive:,Penn Station, 7:44AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 6:56AM,Off Peak,6012,Canceled
,,Arrive:,Babylon Station, 8:12AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 6:58AM,Off Peak,6015,Late - 86 mins
,,Arrive:,Penn Station, 8:14AM,,,
1/1/2018,Montauk,Depart:,Montauk Station, 7:04AM,Off Peak,8701,Canceled
,,Arrive:,Jamaica Station, 9:56AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 7:16AM,Off Peak,6014,Late - 92 mins
,,Arrive:,Babylon Station, 8:21AM,,,
1/1/2018,Long Beach,Depart:,Long Beach Station, 7:24AM,Off Peak,6813,Late - 21 mins
,,Arrive:,Penn Station, 8:21AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 7:28AM,Off Peak,6017,Canceled
,,Arrive:,Penn Station, 8:44AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 7:56AM,Off Peak,6016,Canceled
,,Arrive:,Babylon Station, 9:11AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 8:10AM,Off Peak,6019,Late - 35 mins
,,Arrive:,Penn Station, 9:14AM,,,
1/1/2018,Montauk,Depart:,Jamaica Station, 8:10AM,Off Peak,8704,Late - 10 mins
,,Arrive:,Montauk Station,10:49AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 8:26AM,Off Peak,6018,Late - 19 mins
,,Arrive:,Babylon Station, 9:42AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 8:28AM,Off Peak,6021,Canceled
,,Arrive:,Penn Station, 9:44AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 8:56AM,Off Peak,6020,Canceled
,,Arrive:,Babylon Station,10:12AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 8:58AM,Off Peak,6023,Late - 50 mins
,,Arrive:,Penn Station,10:14AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 9:26AM,Off Peak,6022,Late - 32 mins
,,Arrive:,Babylon Station,10:43AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 9:28AM,Off Peak,6025,Late - 23 mins
,,Arrive:,Penn Station,10:44AM,,,
1/1/2018,Montauk,Depart:,Jamaica Station, 9:41AM,Off Peak,8732,Late - 10 mins
,,Arrive:,Speonk Station,11:17AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 9:56AM,Off Peak,6024,Canceled
,,Arrive:,Babylon Station,11:13AM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 9:59AM,Off Peak,6027,Canceled
,,Arrive:,Penn Station,11:14AM,,,
1/1/2018,Babylon,Depart:,Penn Station,10:26AM,Off Peak,6026,Late - 34 mins
,,Arrive:,Babylon Station,11:42AM,,,
1/1/2018,Babylon,Depart:,Babylon Station,10:28AM,Off Peak,6031,Late - 20 mins
,,Arrive:,Penn Station,11:45AM,,,
1/1/2018,Port Washington,Depart:,Port Washington Station,10:42AM,Off Peak,6427,Late - 7 mins
,,Arrive:,Penn Station,11:27AM,,,
1/1/2018,Babylon,Depart:,Penn Station,10:56AM,Off Peak,6030,Canceled
,,Arrive:,Babylon Station,12:13PM,,,
1/1/2018,Babylon,Depart:,Babylon Station,11:10AM,Off Peak,6033,Canceled
,,Arrive:,Penn Station,12:14PM,,,
1/1/2018,Babylon,Depart:,Penn Station,11:26AM,Off Peak,6032,Late - 40 mins
,,Arrive:,Babylon Station,12:43PM,,,
1/1/2018,Babylon,Depart:,Penn Station,11:56AM,Off Peak,6034,Canceled
,,Arrive:,Babylon Station, 1:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station,11:59AM,Off Peak,6101,Canceled
,,Arrive:,Penn Station, 1:14PM,,,
1/1/2018,Ronk. (greenpt.),Depart:,Penn Station,12:13PM,Off Peak,8050,Late - 10 mins
,,Arrive:,Ronkonkoma Station, 1:32PM,,,
1/1/2018,Babylon,Depart:,Penn Station,12:26PM,Off Peak,6100,Late - 44 mins
,,Arrive:,Babylon Station, 1:42PM,,,
1/1/2018,Babylon,Depart:,Babylon Station,12:28PM,Off Peak,6103,Late - 31 mins
,,Arrive:,Penn Station, 1:44PM,,,
1/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station,12:40PM,Off Peak,8051,Late - 6 mins
,,Arrive:,Penn Station, 1:59PM,,,
1/1/2018,Babylon,Depart:,Penn Station,12:56PM,Off Peak,6102,Canceled
